iter	RMSE
0	11932.67123
1	11848.45239
2	11769.62813
3	11689.65287
4	11602.33753
5	11522.17593
6	11440.54621
7	11360.47694
8	11282.29206
9	11202.21037
10	11121.35487
11	11042.12029
12	10971.84884
13	10901.1207
14	10834.90768
15	10759.49333
16	10685.49013
17	10614.89231
18	10550.89152
19	10484.5843
20	10418.22849
21	10355.35764
22	10289.74908
23	10215.58464
24	10151.51177
25	10083.30432
26	10018.26514
27	9948.935147
28	9885.978955
29	9823.972167
30	9762.26716
31	9693.777942
32	9631.839464
33	9574.901513
34	9515.650819
35	9453.283206
36	9393.164225
37	9339.123015
38	9281.582485
39	9223.43855
40	9160.773686
41	9104.778483
42	9050.352418
43	8988.407518
44	8927.813797
45	8872.736657
46	8820.795211
47	8763.464708
48	8711.373827
49	8658.752967
50	8605.87017
51	8548.964421
52	8505.371294
53	8455.948333
54	8406.801975
55	8354.323794
56	8306.421188
57	8256.846884
58	8209.505796
59	8163.666232
60	8117.330757
61	8068.827615
62	8024.790266
63	7981.385186
64	7936.567946
65	7891.971965
66	7853.274924
67	7806.912321
68	7760.980802
69	7717.338163
70	7673.462598
71	7630.396109
72	7589.591802
73	7551.729719
74	7510.676872
75	7476.137343
76	7436.692041
77	7397.785286
78	7357.579747
79	7318.485786
80	7280.19952
81	7243.88905
82	7202.837255
83	7166.455498
84	7133.657106
85	7098.998876
86	7063.020007
87	7029.476425
88	7002.524149
89	6968.449323
90	6935.124331
91	6901.846354
92	6865.134669
93	6829.266059
94	6794.963985
95	6764.596545
96	6736.56038
97	6707.589175
98	6680.010612
99	6650.769296
100	6619.332293
101	6587.72451
102	6557.498585
103	6530.435419
104	6501.141829
105	6474.989795
106	6447.972873
107	6417.906071
108	6392.233778
109	6366.560141
110	6339.11934
111	6313.316816
112	6287.25809
113	6261.132821
114	6234.340552
115	6212.936165
116	6188.762469
117	6166.312647
118	6143.946161
119	6118.945291
120	6094.919963
121	6069.894718
122	6044.829388
123	6022.968718
124	6001.224953
125	5979.138171
126	5959.475255
127	5939.383152
128	5917.75935
129	5895.756221
130	5875.128424
131	5853.131778
132	5833.530539
133	5814.019422
134	5795.102708
135	5774.81028
136	5755.635468
137	5736.404424
138	5717.402229
139	5699.096248
140	5681.076151
141	5664.028276
142	5646.053548
143	5626.136037
144	5608.029113
145	5590.78181
146	5572.432115
147	5557.205621
148	5540.231242
149	5522.027958
150	5504.905342
151	5490.003762
152	5474.296365
153	5459.281187
154	5443.614624
155	5428.180199
156	5412.294106
157	5399.020756
158	5384.096404
159	5369.896459
160	5355.318024
161	5339.663284
162	5327.105677
163	5312.799491
164	5300.942649
165	5287.818388
166	5274.412658
167	5263.107698
168	5248.483484
169	5234.64345
170	5222.68605
171	5208.270041
172	5196.177134
173	5184.754902
174	5171.79501
175	5159.116403
176	5147.445185
177	5137.106791
178	5126.957572
179	5116.005441
180	5104.941539
181	5092.475403
182	5081.066786
183	5070.075713
184	5059.405486
185	5048.493015
186	5036.652221
187	5025.689864
188	5014.828203
189	5003.983639
190	4993.47624
191	4983.153313
192	4973.639747
193	4963.171044
194	4953.286935
195	4943.808618
196	4934.000419
197	4924.416512
198	4915.252421
199	4906.768029
200	4898.53066
201	4890.843159
202	4881.995857
203	4874.00603
204	4865.287381
205	4857.277876
206	4848.456438
207	4840.0039
208	4831.620717
209	4824.84313
210	4816.240318
211	4807.480464
212	4799.080005
213	4792.292025
214	4784.459446
215	4777.389217
216	4769.959913
217	4761.741672
218	4754.06456
219	4746.808012
220	4739.918526
221	4733.065197
222	4727.60407
223	4720.618535
224	4713.982488
225	4707.377543
226	4701.75919
227	4695.050376
228	4688.552031
229	4681.981908
230	4675.454242
231	4668.993774
232	4662.794193
233	4656.89776
234	4650.573137
235	4645.29378
236	4638.915167
237	4632.953264
238	4627.160373
239	4621.794719
240	4615.975795
241	4610.859497
242	4604.951692
243	4599.880295
244	4594.011623
245	4591.008627
246	4585.619282
247	4580.433535
248	4575.370972
249	4570.741193
250	4564.398779
251	4560.321276
252	4554.790075
253	4550.106274
254	4545.602653
255	4539.429493
256	4534.363685
257	4531.521113
258	4527.181131
