iter	Passed	Remaining
510	950	165
511	952	163
512	958	162
513	960	160
514	962	158
515	963	156
516	964	154
517	965	152
518	967	150
519	969	149
520	971	147
521	973	145
522	974	143
523	975	141
524	976	139
525	977	137
526	978	135
527	979	133
528	981	131
529	982	129
530	983	127
531	986	126
532	986	124
533	988	122
534	990	120
535	990	118
536	992	116
537	993	114
538	995	112
539	997	110
540	998	108
541	1000	107
542	1002	105
543	1004	103
544	1005	101
545	1007	99
546	1009	97
547	1010	95
548	1012	94
549	1014	92
550	1016	90
551	1018	88
552	1020	86
553	1021	84
554	1023	82
555	1024	81
556	1026	79
557	1028	77
558	1030	75
559	1032	73
560	1034	71
561	1036	70
562	1037	68
563	1039	66
564	1041	64
565	1042	62
566	1044	60
567	1045	58
568	1047	57
569	1049	55
570	1050	53
571	1052	51
572	1053	49
573	1055	47
574	1056	45
575	1058	44
576	1060	42
577	1061	40
578	1064	38
579	1066	36
580	1066	34
581	1068	33
582	1069	31
583	1071	29
584	1072	27
585	1074	25
586	1075	23
587	1077	21
588	1079	20
589	1081	18
590	1081	16
591	1082	14
592	1083	12
593	1085	10
594	1086	9
595	1088	7
596	1089	5
597	1091	3
598	1093	1
599	1095	0
